2026-06-16 17:06:43 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for NVDA
2026-06-16 17:06:43 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for TSLA
2026-06-16 17:06:43 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for JPM
2026-06-16 17:06:43 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for GS
2026-06-16 17:06:43 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for XOM
2026-06-16 17:06:43 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for BA
2026-06-16 17:06:44 | INFO     | src.ingestion.market_data:fetch_all:203 | Fetched 100 news articles
2026-06-16 17:06:45 | INFO     | src.ingestion.market_data:fetch_all:129 | Fetched fundamentals for 10 tickers
2026-06-16 17:06:45 | INFO     | src.ingestion.market_data:run_all:225 | Data pipeline complete.
2026-06-16 17:06:45 | INFO     | src.graph.knowledge_graph:update_correlations:158 | Added 1 correlation edges (threshold=0.6)
2026-06-16 17:06:45 | INFO     | src.api.main:lifespan:91 | ✅ Initial data load complete
2026-06-16 17:09:03 | INFO     | src.regime.market_regime:fit:119 | HMM regime detector fitted with 5 states
2026-06-16 17:09:07 | INFO     | src.regime.market_regime:fit:119 | HMM regime detector fitted with 5 states
2026-06-16 17:09:22 | INFO     | src.regime.market_regime:fit:119 | HMM regime detector fitted with 5 states
2026-06-16 17:10:14 | INFO     | src.api.main:_refresh:438 | Background data refresh started...
2026-06-16 17:10:14 | INFO     | src.ingestion.market_data:run_all:218 | Starting full data pipeline for 10 tickers...
2026-06-16 17:10:17 | INFO     | src.ingestion.market_data:fetch_all:163 | Fetched macro data: 7 indicators
2026-06-16 17:10:17 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for AAPL
